OS: Windows 10 | Browser: Chrome 114 | Resolution: 1366x720 | Time: 29 Jun 2023 / 11:25:51  GMT+5:30,,,,
Step,Data,Exp Result,XPath,cssSelector
Open website,https://www.demoblaze.com/,,,
"Click on ""Sign up""",,,//a[@id='signin2'],#signin2
"Enter ""kamali"" into ""Username:""",kamali,,//input[@id='sign-username'],#sign-username
"Enter ""******"" into ""Password:""",******,,//input[@id='sign-password'],#sign-password
"Click on ""Sign up""",,,//button[normalize-space()='Sign up'],body > div:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(3) > button:nth-child(2)
"Click on ""Log in""",,,//a[@id='login2'],#login2
"Enter ""kamali"" into ""loginusername""",kamali,,//input[@id='loginusername'],#loginusername
"Enter ""******"" into ""loginpassword""",******,,//input[@id='loginpassword'],#loginpassword
"Click on ""Log in""",,,//button[normalize-space()='Log in'],body > div:nth-child(3) > div:nth-child(1) > div:nth-child(1) > div:nth-child(3) > button:nth-child(2)
Reload,,,,
